doc_font_median,errors,garbled_hint,language,line_merges,logical_lines,marker_rejected_table,median_line_height,mode,pages,pdf_path,prefix_dropped,prefix_fixed,raw_lines,removed_decor,removed_header_footer,removed_page_num,strong_marker_ratio,strong_markers,toc_pages,type_heading,type_list-item,type_other,type_paragraph,type_title,unit_drafts,units,valid,weak_marker_ratio,weak_markers
19.045,,False,zh,176,1560,0,20.212,marker_stack_tree,26,D:\code\Github\SLAC-test\SLAC\data\zh\GBT+36543-2018.pdf,0,0,1768,0,26,32,0.395349,17,,18,,1,24,1,43,44,True,0.0,0
17.04,,False,zh,134,2104,0,17.181,marker_stack_tree,35,D:\code\Github\SLAC-test\SLAC\data\zh\GBT+37439-2019.pdf,0,0,2378,0,35,140,0.75,93,,46,,1,77,1,124,125,True,0.0,0
13.977,,False,en,89,827,0,20.698,marker_stack_tree,23,D:\code\Github\SLAC-test\SLAC\data\zh\GBT+37532-2019.pdf,0,0,1024,0,23,108,0.570552,186,,157,,75,94,1,326,327,True,0.0,0
19.3,,False,zh,261,2082,0,20.727,marker_stack_tree,56,D:\code\Github\SLAC-test\SLAC\data\zh\GBT+38374-2019.pdf,0,0,2401,0,56,58,0.236111,17,,32,,1,39,1,72,73,True,0.0,0
13.402,,False,en,35,350,0,18.951,marker_stack_tree,12,D:\code\Github\SLAC-test\SLAC\data\zh\GBT+38604.2-2020.pdf,0,0,414,0,12,29,0.932692,97,0,66,,2,36,1,104,105,True,0.0,0
17.181,,False,zh,264,3063,0,18.726,marker_stack_tree,77,D:\code\Github\SLAC-test\SLAC\data\zh\GBT+38695-2020.pdf,0,0,3680,0,77,353,0.869198,412,,221,,1,252,1,474,475,True,0.0,0
12.484,,False,en,95,847,0,20.989,marker_stack_tree,25,D:\code\Github\SLAC-test\SLAC\data\zh\GBT+38707-2020.pdf,0,0,978,0,25,36,0.911579,433,,365,,19,91,1,475,476,True,0.0,0
13.286,,False,en,65,423,0,20.698,marker_stack_tree,37,D:\code\Github\SLAC-test\SLAC\data\zh\GBT+38709-2020.pdf,0,0,556,0,37,54,0.761538,99,,89,,5,36,1,130,131,True,0.0,0
8.248,,False,zh,35,1202,0,19.515,marker_stack_tree,27,D:\code\Github\SLAC-test\SLAC\data\zh\GBT+44554.6-2026.pdf,0,0,1394,0,52,124,0.630435,29,"2,8",39,,3,4,1,46,47,True,0.0,0
17.181,,False,zh,65,1021,0,17.181,marker_stack_tree,16,D:\code\Github\SLAC-test\SLAC\data\zh\GBT+5068-2019.pdf,0,0,1112,0,16,26,0.666667,56,,45,,8,31,1,84,85,True,0.0,0
9.704,,False,zh,86,1158,0,22.96,marker_stack_tree,23,D:\code\Github\SLAC-test\SLAC\data\zh\GBT+7928-2025.pdf,0,0,1345,0,20,101,0.929825,212,2,59,,2,167,1,228,229,True,0.0,0
9.48,,False,zh,1327,4390,0,9.96,marker_stack_tree,170,D:\code\Github\SLAC-test\SLAC\data\zh\TB10082-2017 铁路轨道设计规范2017.pdf,0,0,6565,0,0,1017,0.756874,523,"9,10",485,3,19,184,1,691,692,True,0.004342,3
9.96,,False,zh,4372,9316,0,9.96,marker_stack_tree,404,D:\code\Github\SLAC-test\SLAC\data\zh\TB10621-2014 高速铁路设计规范（条纹说明）.pdf,1,0,14704,0,0,1419,0.680836,977,"6,7,8,9,10,11",1016,7,65,347,1,1435,1436,True,0.004878,7
9.96,,False,zh,3149,7045,0,9.96,marker_stack_tree,290,D:\code\Github\SLAC-test\SLAC\data\zh\TB10623-2014 城际铁路设计规范（条文说明）.pdf,1,0,11872,0,0,1968,0.69306,779,"9,10,11,12,13,14",812,2,57,253,1,1124,1125,True,0.001779,2
8.314,,False,zh,965,20100,0,9.54,marker_stack_tree,333,D:\code\Github\SLAC-test\SLAC\data\zh\Ⅲ、Ⅳ级铁路设计规范.pdf,83,0,20952,0,0,220,0.83208,1660,11,1737,18,39,201,1,1995,1996,True,0.009023,18
15.96,,False,zh,88,304,0,15.96,marker_stack_tree,18,D:\code\Github\SLAC-test\SLAC\data\zh\上海市轨道交通管理条例_20210825.pdf,0,0,392,0,0,18,0.607143,68,"0,9",69,30,3,10,1,112,113,True,0.267857,30
15.96,,False,zh,85,253,0,15.96,marker_stack_tree,16,D:\code\Github\SLAC-test\SLAC\data\zh\中华人民共和国铁路法_20150424.pdf,0,0,338,0,0,16,0.793478,73,"0,6",68,5,3,16,1,92,93,True,0.054348,5
11.04,,False,zh,210,1066,0,14.04,marker_stack_tree,48,D:\code\Github\SLAC-test\SLAC\data\zh\交办运[2019]17号《城市轨道交通初期运营前安 (1).pdf,0,0,1278,0,0,50,0.575893,129,"3,8",156,56,3,9,1,224,225,True,0.25,56
8.725,,False,zh,63,1074,0,10.536,marker_stack_tree,17,D:\code\Github\SLAC-test\SLAC\data\zh\公路与铁路两用桥梁通用技术要求.pdf,0,0,1145,0,16,9,0.867257,98,1,92,,2,19,1,113,114,True,0.0,0
15.96,,False,zh,134,388,0,15.96,marker_stack_tree,27,D:\code\Github\SLAC-test\SLAC\data\zh\北京市轨道交通运营安全条例_.pdf,0,0,522,0,0,27,0.532468,82,"0,14",77,56,3,18,1,154,155,True,0.363636,56
8.961,,False,zh,1274,30534,0,10.44,marker_stack_tree,588,D:\code\Github\SLAC-test\SLAC\data\zh\地下铁道工程施工质量验收标准.pdf,432,0,31837,0,0,617,0.906027,4194,"7,8,9,10,11,12,13,14,15",3845,18,11,755,1,4629,4630,True,0.004321,20
8.976,,False,zh,722,6779,0,10.26,marker_stack_tree,164,D:\code\Github\SLAC-test\SLAC\data\zh\地铁快线设计标准(附条文说明).pdf,34,0,7579,0,0,242,0.812646,694,"6,7,8",712,8,21,113,1,854,855,True,0.009368,8
9.221,,False,zh,487,35314,0,11.274,marker_stack_tree,321,D:\code\Github\SLAC-test\SLAC\data\zh\地铁设计规范.pdf,376,0,36416,0,0,936,0.93981,4247,"4,5,6,7",3879,29,7,604,1,4519,4520,True,0.006417,29
24.659,,False,zh,221,5089,0,28.0,marker_stack_tree,133,D:\code\Github\SLAC-test\SLAC\data\zh\地铁限界标准(附条文说明).pdf,6,0,5321,0,0,141,0.751142,329,"5,7",367,12,3,56,1,438,439,True,0.027397,12
8.97,,False,zh,323,4905,0,10.306,marker_stack_tree,100,D:\code\Github\SLAC-test\SLAC\data\zh\城市轨道交通工程基本术语标准.pdf,24,0,5260,0,0,132,0.855738,522,"6,7,8",510,3,4,93,1,610,611,True,0.004918,3
10.0,,False,zh,551,1637,0,10.0,marker_stack_tree,79,D:\code\Github\SLAC-test\SLAC\data\zh\城市轨道交通技术规范.pdf,353,0,2423,0,0,314,0.857461,385,"5,7",347,,3,99,1,449,450,True,0.0,0
8.947,,False,zh,1070,21009,0,10.161,marker_stack_tree,400,D:\code\Github\SLAC-test\SLAC\data\zh\城市轨道交通直线电机牵引系统设计规范(附条文说明).pdf,208,0,22386,0,0,707,0.913453,3198,"0,6,7,8,10,11,12,13,16",3020,12,29,440,1,3501,3502,True,0.003713,13
8.323,,False,zh,942,6909,0,8.401,marker_stack_tree,156,D:\code\Github\SLAC-test\SLAC\data\zh\城市轨道交通设施设备分类与代码.pdf,623,0,9868,0,130,2042,0.825056,731,,877,2,1,6,1,886,887,True,0.002257,2
9.203,,False,zh,88,546,0,13.0,marker_stack_tree,14,D:\code\Github\SLAC-test\SLAC\data\zh\城市轨道交通试运营基本条件.pdf,6,0,626,0,0,6,0.588235,20,,21,,1,12,1,34,35,True,0.0,0
43.723,,False,zh,32,1952,0,31.0,marker_stack_tree,26,D:\code\Github\SLAC-test\SLAC\data\zh\城市轨道交通运营管理规范.pdf,0,0,2003,0,17,27,0.929878,305,13,268,1,2,57,1,328,329,True,0.003049,1
8.258,,False,zh,56,1417,0,9.562,marker_stack_tree,24,D:\code\Github\SLAC-test\SLAC\data\zh\城际铁路站台门系统.pdf,32,0,1484,0,22,11,0.934272,199,0,176,1,2,34,1,213,214,True,0.004695,1
13.5,,False,zh,1943,23814,0,16.612,marker_stack_tree,510,D:\code\Github\SLAC-test\SLAC\data\zh\城际铁路设计规范(附条文说明).pdf,213,0,25337,0,0,90,0.856814,2974,"9,10,11,12,13,14,15",2903,24,60,484,1,3471,3472,True,0.006914,24
11.014,,False,zh,576,2408,0,11.027,marker_stack_tree,84,D:\code\Github\SLAC-test\SLAC\data\zh\市域快速轨道交通设计标准.pdf,0,0,3393,0,0,493,0.869492,513,"6,8",468,,12,110,1,590,591,True,0.0,0
19.259,,False,zh,221,4829,0,23.294,marker_stack_tree,97,D:\code\Github\SLAC-test\SLAC\data\zh\改建铁路工程测量规范(附条文说明).pdf,12,0,4978,0,0,25,0.87907,567,5,546,11,4,85,,645,646,True,0.017054,11
8.534,,False,zh,80,1845,0,10.787,marker_stack_tree,28,D:\code\Github\SLAC-test\SLAC\data\zh\标准轨距铁路道岔.pdf,7,0,1949,0,28,24,0.899563,206,0,185,5,1,38,1,229,230,True,0.021834,5
10.56,,False,zh,488,855,0,10.56,marker_stack_tree,66,D:\code\Github\SLAC-test\SLAC\data\zh\浮置板轨道技术规范.pdf,0,0,1356,0,0,73,0.886364,312,"7,8",252,,3,97,1,352,353,True,0.0,0
8.897,,False,zh,710,6667,0,10.44,marker_stack_tree,172,D:\code\Github\SLAC-test\SLAC\data\zh\磁浮铁路技术标准(试行)(附条文说明).pdf,34,0,7300,0,0,94,0.799534,686,6,659,17,7,175,1,858,859,True,0.019814,17
18.799,,False,zh,432,6815,0,21.94,marker_stack_tree,139,D:\code\Github\SLAC-test\SLAC\data\zh\绿色铁路客站评价标准(附条文说明).pdf,32,0,7132,0,0,24,0.855932,707,,628,11,1,186,1,826,827,True,0.013317,11
15.96,,False,zh,121,424,0,17.668,marker_stack_tree,24,D:\code\Github\SLAC-test\SLAC\data\zh\苏州市轨道交通条例_20221012.pdf,0,0,521,0,0,0,0.457746,65,"0,15",63,60,3,16,1,142,143,True,0.464052,71
15.96,,False,zh,153,342,0,15.96,marker_stack_tree,23,D:\code\Github\SLAC-test\SLAC\data\zh\重庆市轨道交通条例_20250326.pdf,0,0,495,0,0,23,0.534351,70,"0,12",68,45,3,15,1,131,132,True,0.343511,45
12.215,,False,zh,1019,14722,0,13.913,marker_stack_tree,283,D:\code\Github\SLAC-test\SLAC\data\zh\重载铁路设计规范(附条文说明).pdf,99,0,15539,0,0,80,0.833974,1301,"7,8,11",1311,12,19,218,1,1560,1561,True,0.007692,12
8.658,,False,zh,449,5834,0,10.206,marker_stack_tree,135,D:\code\Github\SLAC-test\SLAC\data\zh\铁路专用线设计规范(试行)(附条文说明).pdf,26,0,6173,0,0,25,0.842397,759,"7,9,16,17,18",710,6,31,154,1,901,902,True,0.006659,6
15.96,,False,zh,68,173,0,17.668,marker_stack_tree,12,D:\code\Github\SLAC-test\SLAC\data\zh\铁路交通事故应急救援和调查处理条例_20121109.pdf,0,0,238,0,0,9,0.579545,51,,46,27,1,14,1,88,89,True,0.306818,27
8.309,,False,zh,51,1090,0,9.54,marker_stack_tree,17,D:\code\Github\SLAC-test\SLAC\data\zh\铁路信号安全数据网.pdf,53,0,1156,0,12,20,0.909091,170,,163,2,1,21,1,187,188,True,0.010695,2
8.569,,False,zh,917,16858,0,10.159,marker_stack_tree,349,D:\code\Github\SLAC-test\SLAC\data\zh\铁路信号工程施工质量验收标准(附条文说明).pdf,125,0,17497,0,0,70,0.845983,1527,"3,4,10,11,12,13,14",1399,4,8,394,1,1805,1806,True,0.002216,4
9.16,,False,zh,160,1797,0,11.032,marker_stack_tree,36,D:\code\Github\SLAC-test\SLAC\data\zh\铁路信号电源系统设备 第1部分_通用要求.pdf,20,0,1979,0,26,32,0.864198,210,"0,1",223,1,3,16,1,243,244,True,0.004115,1
8.629,,False,zh,93,1795,0,9.52,marker_stack_tree,45,D:\code\Github\SLAC-test\SLAC\data\zh\铁路信号符号.pdf,1,0,2125,0,45,237,0.812977,213,,246,11,1,4,1,262,263,True,0.041985,11
9.165,,False,zh,38,680,0,12.025,marker_stack_tree,16,D:\code\Github\SLAC-test\SLAC\data\zh\铁路后张法预应力混凝土梁管道压浆技术条件.pdf,0,0,718,0,11,5,0.899281,125,,120,,1,18,1,139,140,True,0.0,0
36.469,,False,zh,132,3027,0,37.0,marker_stack_tree,73,D:\code\Github\SLAC-test\SLAC\data\zh\铁路声屏障工程施工质量验收标准(附条文说明).pdf,14,0,3104,0,0,18,0.838645,421,"6,7",387,1,16,98,1,502,503,True,0.001992,1
