errors,language,merged_lines,mode,pages,prefix_dropped,prefix_fixed,stitched_marker_fragments,strong_marker_ratio,strong_marker_starts,txt_path,units,valid,weak_marker_ratio,weak_marker_starts
,zh,2973,marker_stack_tree,1,3,0,0,0.850829,154,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路桥梁钢结构设计规范(附条文说明).txt,182,True,0.143646,26
,zh,1714,marker_stack_tree,1,1,0,2,0.949153,56,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路混凝土结构耐久性设计规范(附条文说明).txt,60,True,0.033898,2
,zh,807,marker_stack_tree,1,3,0,0,0.951613,118,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路照明设计规范(附条文说明).txt,125,True,0.040323,5
,zh,2283,marker_stack_tree,1,7,0,0,0.968254,244,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路电力工程施工质量验收标准(附条文说明).txt,253,True,0.027778,7
,zh,1339,marker_stack_tree,1,4,0,0,0.951807,158,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路电力设计规范(附条文说明).txt,167,True,0.042169,7
,zh,7447,marker_stack_tree,1,28,0,0,0.891892,297,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路线路设计规范(附条文说明).txt,334,True,0.105105,35
,zh,3503,marker_stack_tree,1,5,0,0,0.951031,369,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路路基支挡结构设计规范.txt,389,True,0.046392,18
,en,303,marker_stack_tree,1,0,0,0,0.2,6,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路路基病害分类.txt,31,True,0.766667,23
,zh,1033,marker_stack_tree,1,3,0,0,0.985612,274,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路轨道工程施工安全技术规程(附条文说明).txt,279,True,0.010791,3
,zh,3229,marker_stack_tree,1,13,0,0,0.965753,282,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路轨道设计规范(附条文说明) (1).txt,293,True,0.030822,9
,zh,3229,marker_stack_tree,1,13,0,0,0.965753,282,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路轨道设计规范(附条文说明).txt,293,True,0.030822,9
,zh,4393,marker_stack_tree,1,0,0,0,0.986339,361,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路轨道设计规范（极限状态法）.txt,367,True,0.010929,4
,zh,2222,marker_stack_tree,1,26,0,0,0.969484,413,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路通信设计规范(附条文说明).txt,427,True,0.028169,12
,en,258,marker_stack_tree,1,0,0,0,0.931034,27,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路道岔转换设备 道岔外锁闭装置.txt,30,True,0.034483,1
,zh,1374,marker_stack_tree,1,15,0,0,0.963636,212,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路防雷及接地工程技术规范(附条文说明).txt,221,True,0.031818,7
,zh,6202,marker_stack_tree,1,25,0,0,0.866345,538,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路隧道设计规范(附条文说明).txt,622,True,0.132045,82
,zh,1049,marker_stack_tree,1,1,0,0,0.907563,108,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁路隧道运营通风设计规范(附条文说明).txt,120,True,0.084034,10
,zh,312,marker_stack_tree,1,0,0,0,0.714286,10,D:\code\Github\SLAC-test\SLAC\data\extracted_text\铁道客车及动车组空调装置运用试验方法.txt,15,True,0.214286,3
,zh,77,marker_stack_tree,1,0,0,0,0.833333,5,D:\code\Github\SLAC-test\SLAC\data\extracted_text\长沙市轨道交通条例_20221021.txt,7,True,0.0,0
,zh,112,marker_stack_tree,1,4,0,0,0.890909,49,D:\code\Github\SLAC-test\SLAC\data\extracted_text\高速铁路岔区轨枕埋入式无砟轨道混凝土岔枕.txt,56,True,0.090909,5
,zh,1894,marker_stack_tree,1,6,0,0,0.972376,176,D:\code\Github\SLAC-test\SLAC\data\extracted_text\高速铁路工程测量规范(附条文说明).txt,182,True,0.022099,4
,en,215,marker_stack_tree,1,0,0,0,0.764706,13,D:\code\Github\SLAC-test\SLAC\data\extracted_text\高速铁路无砟轨道不平顺谱.txt,18,True,0.176471,3
,en,3527,marker_stack_tree,1,136,0,0,0.970248,587,D:\code\Github\SLAC-test\SLAC\data\extracted_text\高速铁路桥涵工程施工质量验收标准(附条文说明).txt,606,True,0.028099,17
,zh,2876,marker_stack_tree,1,10,0,0,0.975225,433,D:\code\Github\SLAC-test\SLAC\data\extracted_text\高速铁路电力工程施工质量验收标准(附条文说明).txt,445,True,0.022523,10
,en,273,marker_stack_tree,1,21,0,0,0.893617,84,D:\code\Github\SLAC-test\SLAC\data\extracted_text\高速铁路箱梁运梁车.txt,95,True,0.095745,9
,zh,4559,marker_stack_tree,1,35,0,0,0.983353,827,D:\code\Github\SLAC-test\SLAC\data\extracted_text\高速铁路设计规范.txt,842,True,0.015458,13
,zh,6018,marker_stack_tree,1,155,0,0,0.948052,730,D:\code\Github\SLAC-test\SLAC\data\extracted_text\高速铁路路基工程施工质量验收标准(附条文说明).txt,771,True,0.050649,39
,zh,2795,marker_stack_tree,1,45,0,0,0.973799,446,D:\code\Github\SLAC-test\SLAC\data\extracted_text\高速铁路轨道工程施工质量验收标准(附条文说明).txt,459,True,0.024017,11
,zh,1769,marker_stack_tree,1,21,0,0,0.970501,329,D:\code\Github\SLAC-test\SLAC\data\extracted_text\高速铁路隧道工程施工质量验收标准(附条文说明).txt,340,True,0.026549,9
